Naked,0
Aldrich's Ruby,0.8
Aldrich's Sapphire,0.8
Ashen Estus Ring,0.8
Bellowing Dragoncrest Ring,1
Bloodbite Ring,0.6
Blue Tearstone Ring,1.1
Calamity Ring,0.8
Carthus Bloodring,0.8
Carthus Milkring,0.8
Chillbite Ring,0.6
Chloranthy Ring,0.7
Covetous Gold Serpent Ring,1.2
Covetous Silver Serpent Ring,1.2
Cursebite Ring,0.6
Dark Clutch Ring,0.8
Dark Stoneplate Ring,0.6
Darkmoon Ring,0.8
Deep Ring,0.5
Dragonscale Ring,1.1
Dusk Crown Ring,0.6
Estus Ring,0.8
Farron Ring,0.8
Fire Clutch Ring,0.8
Flame Stoneplate Ring,0.6
Fleshbite Ring,0.9
Flynn's Ring,0.9
Great Swamp Ring,0.7
Havel's Ring,1.5
Hawk Ring,0.7
Hornet Ring,1.1
Horsehoof Ring,0.6
Hunter's Ring,0.8
Knight Slayer's Ring,0.9
Knight's Ring,0.8
Leo Ring,0.5
Life Ring,0.3
Lightning Clutch Ring,0.8
Lingering Dragoncrest Ring,0.5
Lloyd's Shield Ring,0.9
Lloyd's Sword Ring,0.9
Magic Clutch Ring,0.8
Magic Stoneplate Ring,0.6
Morne's Ring,0.7
Obscuring Ring,0.9
Poisonbite Ring,0.6
Pontiff's Left Eye,0.9
Pontiff's Right Eye,1.4
Priestess Ring,0.6
Prisoner's Chain,0.8
Red Tearstone Ring,1.4
Reversal Ring,0.5
Ring of Favor,1.5
Ring of Sacrifice,1
Ring of Steel Protection,0.8
Ring of the Evil Eye,1
Ring of the Sun's First Born,1
Sage Ring,0.7
Saint's Ring,0.5
Scholar Ring,0.6
Skull Ring,0.6
Silvercat Ring,0.6
Slumbering Dragoncrest Ring,0.7
Speckled Stoneplate Ring,0.9
Sun Princess Ring,0.6
Thunder Stoneplate Ring,0.6
Untrue Dark Ring,0.7
Untrue White Ring,0.7
Witch's Ring,1
Wolf Ring,0.5
Wood Grain Ring,0.5
Young Dragon Ring,0.7
